MatchKey,Color,Team 1,Team 2,Team 3,Score,Opponents Score,adjustPoints,autoCargoLowerBlue,autoCargoLowerFar,autoCargoLowerNear,autoCargoLowerRed,autoCargoPoints,autoCargoTotal,autoCargoUpperBlue,autoCargoUpperFar,autoCargoUpperNear,autoCargoUpperRed,autoPoints,autoTaxiPoints,cargoBonusRankingPoint,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,foulCount,foulPoints,hangarBonusRankingPoint,matchCargoTotal,quintetAchieved,rp,taxiRobot1,taxiRobot2,taxiRobot3,techFoulCount,teleopCargoLowerBlue,teleopCargoLowerFar,teleopCargoLowerNear,teleopCargoLowerRed,teleopCargoPoints,teleopCargoTotal,teleopCargoUpperBlue,teleopCargoUpperFar,teleopCargoUpperNear,teleopCargoUpperRed,teleopPoints,totalPoints
2022miket_qm35,blue,frc8385,frc5234,frc3322,34,21,0,1,0,0,0,2,1,0,0,0,0,6,4,true,6,None,None,Mid,0,0,false,20,false,3,No,Yes,Yes,0,6,4,4,2,22,19,0,2,0,1,28,34
2022miket_qm35,red,frc6091,frc4998,frc8193,21,34,0,0,0,0,1,2,1,0,0,0,0,6,4,false,0,None,None,None,0,0,false,14,false,0,Yes,No,Yes,0,3,4,4,0,15,13,1,0,0,1,15,21
2022miket_qm36,blue,frc6610,frc3542,frc7192,29,67,0,2,0,0,1,6,3,0,0,0,0,12,6,false,6,None,None,Mid,0,0,false,14,false,0,Yes,Yes,Yes,0,3,2,4,2,11,11,0,0,0,0,17,29
2022miket_qm36,red,frc5538,frc27,frc5166,67,29,0,0,0,0,0,16,4,1,0,2,1,22,6,true,16,None,Mid,High,0,0,true,21,false,4,Yes,Yes,Yes,0,1,1,1,2,29,17,1,6,2,3,45,67
2022miket_qm37,blue,frc5067,frc3568,frc5084,47,20,0,0,0,0,3,6,3,0,0,0,0,12,6,false,21,None,Mid,Traversal,1,0,true,17,false,3,Yes,Yes,Yes,0,2,5,2,5,14,14,0,0,0,0,35,47
2022miket_qm37,red,frc5247,frc5697,frc5561,20,47,0,0,0,0,0,0,0,0,0,0,0,4,4,false,6,Mid,None,None,0,4,false,3,false,0,Yes,Yes,No,0,0,0,0,0,6,3,0,0,2,1,12,20
2022miket_qm38,blue,frc4998,frc815,frc6067,25,30,0,0,1,1,0,4,2,0,0,0,0,8,4,false,6,None,None,Mid,0,0,false,12,false,0,No,Yes,Yes,0,1,2,5,1,11,10,0,0,0,1,17,25
2022miket_qm38,red,frc4994,frc5234,frc6091,30,25,0,0,0,0,1,2,1,0,0,0,0,8,6,false,15,Traversal,None,None,0,0,false,8,false,2,Yes,Yes,Yes,0,2,1,2,2,7,7,0,0,0,0,22,30
2022miket_qm39,blue,frc7784,frc1506,frc2145,41,36,0,0,0,0,0,4,1,1,0,0,0,10,6,false,16,Mid,High,None,0,0,true,10,false,3,Yes,Yes,Yes,0,0,0,1,2,15,9,2,2,1,1,31,41
2022miket_qm39,red,frc3322,frc4377,frc8767,36,41,0,0,0,0,0,0,0,0,0,0,0,4,4,false,12,Mid,Mid,None,0,0,false,16,false,0,No,Yes,Yes,0,6,2,1,3,20,16,0,2,1,1,32,36
2022miket_qm4,blue,frc8767,frc5114,frc6548,34,43,0,0,1,0,0,18,5,1,1,2,0,20,2,false,6,None,Mid,None,1,0,false,10,true,0,No,Yes,No,0,1,1,0,0,8,5,0,0,1,2,14,34
2022miket_qm4,red,frc7202,frc4998,frc3322,43,34,0,0,0,0,0,8,2,1,0,1,0,12,4,false,21,Traversal,None,Mid,0,4,true,5,false,3,Yes,No,Yes,0,0,0,0,0,6,3,1,2,0,0,27,43
2022miket_qm40,blue,frc6548,frc8385,frc5641,40,73,0,1,0,1,0,4,2,0,0,0,0,8,4,false,12,Mid,Mid,None,0,4,false,18,false,0,Yes,No,Yes,0,8,2,1,5,16,16,0,0,0,0,28,40
